Timestamp,GPU ID,Memory Used (MiB)
2025-03-17 17:11:40,0,12.0
2025-03-17 17:11:45,0,12.0
2025-03-17 17:11:50,0,12.0
2025-03-17 17:11:55,0,12.0
2025-03-17 17:12:00,0,12.0
2025-03-17 17:12:05,0,12.0
2025-03-17 17:12:10,0,12.0
2025-03-17 17:12:15,0,12.0
2025-03-17 17:12:20,0,12.0
2025-03-17 17:12:25,0,12.0
2025-03-17 17:12:30,0,12.0
2025-03-17 17:12:35,0,12.0
2025-03-17 17:12:40,0,12.0
2025-03-17 17:12:45,0,12.0
2025-03-17 17:12:50,0,12.0
2025-03-17 17:12:55,0,12.0
2025-03-17 17:13:00,0,12.0
2025-03-17 17:13:05,0,9599.0
2025-03-17 17:13:10,0,27839.0
2025-03-17 17:13:15,0,27839.0
2025-03-17 17:13:20,0,27839.0
2025-03-17 17:13:25,0,27839.0
2025-03-17 17:13:30,0,27839.0
2025-03-17 17:13:35,0,27839.0
2025-03-17 17:13:40,0,27839.0
2025-03-17 17:13:45,0,27839.0
2025-03-17 17:13:50,0,27839.0
2025-03-17 17:13:55,0,27839.0
2025-03-17 17:14:00,0,27839.0
2025-03-17 17:14:05,0,27839.0
2025-03-17 17:14:10,0,27839.0
2025-03-17 17:14:15,0,27839.0
2025-03-17 17:14:20,0,27839.0
2025-03-17 17:14:25,0,27839.0
2025-03-17 17:14:30,0,27839.0
2025-03-17 17:14:35,0,27839.0
2025-03-17 17:14:40,0,27839.0
2025-03-17 17:14:45,0,27839.0
2025-03-17 17:14:50,0,27839.0
2025-03-17 17:14:55,0,27839.0
2025-03-17 17:15:00,0,27839.0
2025-03-17 17:15:05,0,27839.0
2025-03-17 17:15:10,0,27839.0
2025-03-17 17:15:15,0,27839.0
2025-03-17 17:15:20,0,27839.0
2025-03-17 17:15:25,0,27839.0
2025-03-17 17:15:30,0,27839.0
2025-03-17 17:15:35,0,27839.0
2025-03-17 17:15:40,0,27839.0
2025-03-17 17:15:45,0,27839.0
2025-03-17 17:15:50,0,27839.0
2025-03-17 17:15:55,0,27839.0
2025-03-17 17:16:00,0,27839.0
2025-03-17 17:16:05,0,27839.0
2025-03-17 17:16:10,0,27839.0
2025-03-17 17:16:15,0,27839.0
2025-03-17 17:16:20,0,27839.0
2025-03-17 17:16:25,0,27839.0
2025-03-17 17:16:30,0,27839.0
2025-03-17 17:16:35,0,28211.0
2025-03-17 17:16:40,0,10.0
2025-03-17 17:16:45,0,10.0
2025-03-17 17:16:50,0,10.0
2025-03-17 17:16:55,0,10.0
2025-03-17 17:17:00,0,10.0
2025-03-17 17:17:05,0,10.0
2025-03-17 17:17:10,0,10.0
2025-03-17 17:17:15,0,10.0
2025-03-17 17:17:20,0,10.0
2025-03-17 17:17:25,0,10.0
2025-03-17 17:17:30,0,10.0
2025-03-17 17:17:35,0,10.0
2025-03-17 17:17:40,0,10.0
2025-03-17 17:17:45,0,10.0
